2016-02-10T00:00, RELIANT TRANS, 9.399999999999999, G.V.C., 8.9, NEW DAWN TRANSIT, 8.6, PIONEER TRANSPORTATION CO, 8.6, BORO TRANSIT, 5.3
2016-02-11T00:00, G.V.C., 8.6, LITTLE RICHIE BUS SERVICE, 7.3, RELIANT TRANS, 6.4, PIONEER TRANSPORTATION CO, 5.7, BORO TRANSIT, 5.300000000000001
2016-02-12T00:00, LITTLE RICHIE BUS SERVICE, 13.1, RELIANT TRANS, 12.299999999999999, G.V.C., 11.3, LEESEL TRANSP CORP , 8.9, NEW DAWN TRANSIT, 8.3
2016-02-16T00:00, LEESEL TRANSP CORP , 0.8, SNT BUS INC, 0.7, NEW DAWN TRANSIT, 0.6, ALL AMERICAN SCHOOL BUS C, 0.5, LORINDA ENT. LTD., 0.5
2016-02-17T00:00, SNT BUS INC, 0.8, MAR-CAN TRANSPORT CO. INC, 0.6, GRANDPA`S BUS CO., 0.5, THOMAS BUSES, 0.4, RELIANT TRANS, 0.3
2016-02-18T00:00, SNT BUS INC, 1.7999999999999998, ALL AMERICAN SCHOOL BUS C, 0.5, RELIANT TRANS, 0.5
2016-02-19T00:00, RELIANT TRANS, 0.7, SNT BUS INC, 0.5, VAN TRANS LLC , 0.3, PIONEER TRANSPORTATION CO, 0.3, MAR-CAN TRANSPORT CO. INC, 0.3
2016-02-22T00:00, RELIANT TRANS, 15.1, LITTLE RICHIE BUS SERVICE, 12.8, LEESEL TRANSP CORP , 12.100000000000001, NEW DAWN TRANSIT, 12.0, BORO TRANSIT, 11.4
2016-02-23T00:00, NEW DAWN TRANSIT, 8.3, RELIANT TRANS, 7.6, LEESEL TRANSP CORP , 6.7, LITTLE RICHIE BUS SERVICE, 5.5, PIONEER TRANSPORTATION CO, 5.199999999999999
2016-02-24T00:00, RELIANT TRANS, 10.0, PIONEER TRANSPORTATION CO, 9.899999999999999, LITTLE RICHIE BUS SERVICE, 8.7, LEESEL TRANSP CORP , 7.199999999999999, BORO TRANSIT, 6.5
2016-02-25T00:00, G.V.C., 7.7, RELIANT TRANS, 7.0, LITTLE RICHIE BUS SERVICE, 6.0, BORO TRANSIT, 5.800000000000001, PIONEER TRANSPORTATION CO, 4.800000000000001
2016-02-26T00:00, G.V.C., 8.0, LITTLE RICHIE BUS SERVICE, 7.5, RELIANT TRANS, 6.0, BORO TRANSIT, 5.199999999999999, NEW DAWN TRANSIT, 4.5
2016-02-29T00:00, NEW DAWN TRANSIT, 11.5, RELIANT TRANS, 9.9, LITTLE RICHIE BUS SERVICE, 8.200000000000001, BORO TRANSIT, 7.699999999999999, G.V.C., 6.800000000000001
2016-03-01T00:00, RELIANT TRANS, 8.999999999999998, G.V.C., 6.0, HAPPY CHILD TRANS LLC , 5.8, NEW DAWN TRANSIT, 5.7, BORO TRANSIT, 5.4
2016-03-02T00:00, RELIANT TRANS, 14.0, LEESEL TRANSP CORP , 10.5, PIONEER TRANSPORTATION CO, 5.5, NEW DAWN TRANSIT, 5.300000000000001, BORO TRANSIT, 4.6
2016-03-03T00:00, RELIANT TRANS, 9.8, LEESEL TRANSP CORP , 8.0, G.V.C., 6.7, BORO TRANSIT, 5.8999999999999995, NEW DAWN TRANSIT, 4.5
2016-03-04T00:00, RELIANT TRANS, 11.3, PIONEER TRANSPORTATION CO, 11.0, NEW DAWN TRANSIT, 9.799999999999999, LITTLE RICHIE BUS SERVICE, 6.7, LEESEL TRANSP CORP , 5.7
2016-03-07T00:00, RELIANT TRANS, 14.6, BORO TRANSIT, 10.2, LITTLE RICHIE BUS SERVICE, 8.5, PIONEER TRANSPORTATION CO, 7.4, NEW DAWN TRANSIT, 7.2
2016-03-08T00:00, G.V.C., 5.9, LEESEL TRANSP CORP , 4.4, MAR-CAN TRANSPORT CO. INC, 3.8, PIONEER TRANSPORTATION CO, 3.6, BORO TRANSIT, 3.5
2016-03-09T00:00, NEW DAWN TRANSIT, 11.5, RELIANT TRANS, 11.4, LITTLE RICHIE BUS SERVICE, 6.1, HAPPY CHILD TRANS LLC , 4.800000000000001, BORO TRANSIT, 4.0
2016-03-10T00:00, LEESEL TRANSP CORP , 17.2, PIONEER TRANSPORTATION CO, 15.4, RELIANT TRANS, 12.799999999999999, LITTLE RICHIE BUS SERVICE, 9.5, G.V.C., 8.8
2016-03-11T00:00, RELIANT TRANS, 11.6, NEW DAWN TRANSIT, 6.699999999999999, PIONEER TRANSPORTATION CO, 6.3999999999999995, G.V.C., 4.7, LEESEL TRANSP CORP , 4.2
2016-03-14T00:00, RELIANT TRANS, 12.3, PIONEER TRANSPORTATION CO, 8.4, LEESEL TRANSP CORP , 8.1, NEW DAWN TRANSIT, 6.0, G.V.C., 5.6
2016-03-15T00:00, PIONEER TRANSPORTATION CO, 10.0, RELIANT TRANS, 9.2, NEW DAWN TRANSIT, 6.8, LITTLE RICHIE BUS SERVICE, 6.3, LEESEL TRANSP CORP , 5.7
2016-03-16T00:00, RELIANT TRANS, 7.8, G.V.C., 7.3, PIONEER TRANSPORTATION CO, 7.0, LEESEL TRANSP CORP , 6.3, NEW DAWN TRANSIT, 5.6
2016-03-17T00:00, RELIANT TRANS, 11.1, NEW DAWN TRANSIT, 7.200000000000001, G.V.C., 6.0, LEESEL TRANSP CORP , 5.2, PIONEER TRANSPORTATION CO, 5.1
2016-03-18T00:00, RELIANT TRANS, 8.299999999999999, BORO TRANSIT, 4.6, PIONEER TRANSPORTATION CO, 4.6, NEW DAWN TRANSIT, 4.300000000000001, LEESEL TRANSP CORP , 4.1
2016-03-21T00:00, NEW DAWN TRANSIT, 11.2, G.V.C., 10.6, RELIANT TRANS, 9.0, PIONEER TRANSPORTATION CO, 7.6, HAPPY CHILD TRANS LLC , 5.800000000000001
2016-03-22T00:00, RELIANT TRANS, 10.9, NEW DAWN TRANSIT, 9.0, PIONEER TRANSPORTATION CO, 8.1, G.V.C., 5.6000000000000005, BORO TRANSIT, 5.1
2016-03-23T00:00, RELIANT TRANS, 9.7, NEW DAWN TRANSIT, 7.5, BORO TRANSIT, 6.2, G.V.C., 5.3, LEESEL TRANSP CORP , 5.0
